Bairro,Homicidios,Taxa,Populacao
AEROLANDIA,17,149,11360
AEROPORTO,2,23,8618
ALDEOTA,8,18,42361
ALTO DA BALANCA,10,78,12814
ALVARO WEYNE,21,88,23690
AMADEU FURTADO,0,0,11703
ANCURI,18,89,20070
ANTONIO BEZERRA,16,61,25846
AUTRAN NUNES,18,84,21208
BARRA DO CEARA,70,96,72423
BARROSO,45,150,29847
BELA VISTA,17,101,16754
BENFICA,2,15,12954
BOA VISTA,1,8,12247
BOM FUTURO,0,0,6405
BOM JARDIM,53,140,37758
BONSUCESSO,25,60,41198
CAIS DO PORTO,19,84,22382
CAJAZEIRAS,11,75,14478
CAMBEBA,4,52,7625
CANINDEZINHO,29,70,41202
CARLITO PAMPLONA,17,58,29076
CENTRO,30,105,28538
CIDADE 2000,5,60,8272
CIDADE DOS FUNCIONARIOS,9,49,18256
COACU,0,0,7188
COCO,1,4,20492
CONJUNTO CEARA I,7,36,19221
CONJUNTO CEARA II,6,25,23673
CONJUNTO ESPERANCA,15,91,16405
CONJUNTO PALMEIRAS,46,125,36599
COUTO FERNANDES,4,76,5260
CRISTO REDENTOR,17,63,26717
CURIO,11,144,7636
DAMAS,2,18,10719
DE LOURDES,0,0,3370
DEMOCRITO ROCHA,5,45,10994
DENDE,5,88,5637
DIAS MACEDO,10,82,12111
DIONISIO TORRES,3,19,15634
DOM LUSTOSA,4,30,13147
EDSON QUEIROZ,24,108,22210
FARIAS BRITO,1,8,12063
FATIMA,7,30,23309
FLORESTA,10,34,28896
GENIBAU,37,91,40336
GRANJA LISBOA,32,61,52042
GRANJA PORTUGAL,26,65,39651
GUAJERU,0,0,6668
HENRIQUE JORGE,6,22,26994
ITAOCA,10,80,12477
ITAPERI,8,35,22563
JACARECANGA,11,77,14204
JANGURUSSU,57,112,50479
JARDIM AMERICA,8,65,12264
JARDIM CEARENSE,1,9,10103
JARDIM DAS OLIVEIRAS,31,104,29571
JARDIM GUANABARA,6,40,14919
JARDIM IRACEMA,29,125,23184
JOAO XXIII,10,54,18398
JOAQUIM TAVORA,4,17,23450
JOQUEI CLUBE,7,36,19331
JOSE BONIFACIO,3,33,8848
JOSE DE ALENCAR,20,124,16003
LAGOA REDONDA,13,46,27949
ENG LUCIANO CAVALCANTE,1,6,15543
MANOEL SATIRO,9,23,37952
MANUEL DIAS BRANCO,3,207,1447
MARAPONGA,12,118,10155
MEIRELES,2,5,36982
MESSEJANA,46,110,41689
MONDUBIM,47,61,76044
MONTE CASTELO,12,90,13215
MONTESE,4,15,25970
MUCURIPE,10,72,13747
PADRE ANDRADE,6,46,12936
PANAMERICANO,7,79,8815
PAPICU,11,59,18370
PARANGABA,11,35,30947
PARQUE ARAXA,0,0,6715
PARQUE DOIS IRMAOS,14,51,27236
PARQUE IRACEMA,2,23,8409
PARQUE MANIBURA,0,0,7529
PARQUE PRESIDENTE VARGAS,9,125,7192
PARQUE SANTA ROSA,8,62,12790
PARQUE SAO JOSE,17,162,10486
PARQUELANDIA,6,41,14432
PARREAO,0,0,11072
PASSARE,35,68,50940
PAUPINA,12,81,14665
PEDRAS,1,74,1342
PICI,23,54,42494
PIRAMBU,38,213,17775
PLANALTO AYRTON SENNA,30,76,39446
PRAIA DE IRACEMA,11,351,3130
PRAIA DO FUTURO I,12,180,6630
PRAIA DO FUTURO II,12,100,11957
PREFEITO JOSE VALTER,25,74,33427
PRESIDENTE KENNEDY,2,8,23004
QUINTINO CUNHA,36,76,47277
RODOLFO TEOFILO,4,20,19114
SABIAGUABA,9,425,2117
SALINAS,0,0,4298
SAO BENTO,0,0,11964
SAO GERARDO,3,20,14505
SAO JOAO DO TAUAPE,24,86,27598
SAPIRANGA COITE,13,40,32158
SERRINHA,21,72,28770
SIQUEIRA,30,89,33628
VARJOTA,2,23,8421
VICENTE PINZON,34,74,45518
VILA ELLERY,6,76,7863
VILA PERY,6,29,20645
VILA UNIAO,10,65,15378
VILA VELHA,31,50,61617
